Başlık,Fiyat,Şehir,İlçe,Mahalle,Konut Tipi,Oda Sayısı,Banyo Sayısı,Kat,Kat Sayısı,Bina Yaşı,Isınma Tipi,Eşya Durumu,Yapı Tipi,Yapının Durumu,Aidat,Depozito,Yakıt Tipi,Link,Brüt m2,Net m2,Konut Tipi Encoded,İlçe Encoded,Mahalle Encoded,Isınma Tipi Encoded,Yakıt Tipi Encoded,Yapı Tipi Encoded,Yapının Durumu Encoded,Cephe_Kuzey,Cephe_Güney,Cephe_Doğu,Cephe_Batı,Cephe_Bilinmiyor
Ortaköy de 2+1 Eşyalı Daire,32000,0,Beşiktaş,Mecidiye Mah.,Daire,3,1,3.0,3.0,48,Kombi,1,Betonarme,İkinci El,450,60000,Doğalgaz,https://www.hepsiemlak.com/istanbul-besiktas-mecidiye-kiralik/daire/10993-873,90,75,0,145577.30544993663,38944.40740740741,5,1,0,2,0,0,0,0,1
ÇELİKTEPE İSMET İNÖNÜ CADDESİNDE METROYA 5 DAKİKA,32000,0,Kağıthane,Çeliktepe Mah.,Daire,3,1,1.0,4.0,25,Kombi,0,Betonarme,İkinci El,200,32000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kagithane-celiktepe-kiralik/daire/109839-542,105,95,0,44238.3578125,127741.07142857143,5,1,0,2,0,0,0,0,1
BEYLİKDÜZÜ KİRALIK DAİRE 3+1,12000,0,Beylikdüzü,Gürpınar Mah.,Daire,4,1,5.0,8.0,20,Kombi,0,Betonarme,İkinci El,300,30000,Doğalgaz,https://www.hepsiemlak.com/istanbul-beylikduzu-gurpinar-kiralik/daire/69372-1245,130,120,0,40480.59071729958,113534.4827586207,5,1,0,2,0,0,0,0,1
BEYOĞLU TEPEBAŞINDA MANZARALI 1+1 EŞYALI LÜX DAİRE,45000,0,Beyoğlu,Çatma Mescit Mah.,Daire,2,1,2.0,5.0,45,Klima,1,Betonarme,İkinci El,350,90000,Elektrik,https://www.hepsiemlak.com/istanbul-beyoglu-catma-mescit-kiralik/daire/73025-5983,72,65,0,46264.72451790634,36500.0,4,2,0,2,1,1,0,0,0
Beyoğlu Şişhane Metrosuna ve İstiklal Caddesine Yakın 3+1 Kiralık Daire,55000,0,Beyoğlu,Tomtom Mah.,Daire,4,1,2.0,5.0,35,Kombi,0,Betonarme,İkinci El,3850,82500,Doğalgaz,https://www.hepsiemlak.com/istanbul-beyoglu-tomtom-kiralik/daire/87282-1957,110,100,0,46264.72451790634,46272.72727272727,5,1,0,2,0,0,1,0,0
"YAVUZSELİM TRAMVAY DURAĞI YANINDA, MERKEZİ KONUM, 2+1 4.KAT",13000,0,Güngören,Güneştepe Mah.,Daire,3,1,4.0,4.0,35,Kombi,0,Betonarme,İkinci El,910,19500,Doğalgaz,https://www.hepsiemlak.com/istanbul-gungoren-gunestepe-kiralik/daire/4616-1115,70,60,0,109940.78947368421,17500.0,5,1,0,2,0,0,0,0,1
Tarabya Cadde Ulaşım Metro Yürüme Müstakil Bahçeli 2+1 Daire,35000,0,Sarıyer,Cumhuriyet Mah.,Diğer,2,1,1.0,1.0,23,Kombi,0,Betonarme,İkinci El,2450,35000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sariyer-cumhuriyet-kiralik/mustakil-ev/78519-8628,150,100,1,110185.8286163522,38040.54054054054,5,1,0,2,1,1,1,0,0
ŞEBNEM ÖZGÜL'DEN Florya'da Full Mobilyalı Kiralık 4+1 Ara Kat Daire,90000,0,Bakırköy,Şenlikköy Mah.,Daire,5,2,1.0,3.0,27,Kombi,1,Betonarme,İkinci El,6300,135000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bakirkoy-senlikkoy-kiralik/daire/17780-20129,200,185,0,157770.20547945207,247655.92105263157,5,1,0,2,0,0,0,0,1
YEDİTEPE ÜNİ KARŞI SOKAĞINDA BAHÇE KULLANIMLI EŞYALI DUBLEKS 1+1,27500,0,Ataşehir,Kayışdağı Mah.,Daire,2,1,2.0,4.0,5,Kombi,1,Betonarme,İkinci El,200,50000,Doğalgaz,https://www.hepsiemlak.com/istanbul-atasehir-kayisdagi-kiralik/daire/88546-4573,65,60,0,37048.9847715736,25225.8064516129,5,1,0,2,0,1,1,0,0
Nidapark Küçükyalı Sedef Etabında Kiralık Balkonlu 1+1 Daire,43000,0,Maltepe,Çınar Mah.,Daire,2,1,10.0,15.0,2,Merkezi,0,Betonarme,İkinci El,3010,64500,Doğalgaz,https://www.hepsiemlak.com/istanbul-maltepe-cinar-kiralik/daire/77582-1944,71,46,0,36607.416267942586,33362.903225806454,6,1,0,2,1,1,1,0,0
KANYON LEVENT METRO 12 DK 9 YILLIK BİNADA FULL EŞYALI 2+1 DAİRE,30000,0,Kağıthane,Ortabayır Mah.,Daire,3,1,0.5,6.0,9,Kombi,1,Betonarme,İkinci El,150,60000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kagithane-ortabayir-kiralik/daire/39781-5061,80,70,0,44238.3578125,29739.130434782608,5,1,0,2,0,0,0,0,1
Caddebostan Sahil Kiralık Ferah Daire,60000,0,Kadıköy,Caddebostan Mah.,Daire,3,1,6.0,8.0,31,Merkezi,0,Betonarme,İkinci El,4200,90000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kadikoy-caddebostan-kiralik/daire/1006-19176,140,112,0,66851.20439560439,112277.77777777778,6,1,0,2,0,1,0,0,0
"NESA'DAN; MODA CAD.Yİ KESEN SOK.TA 3.KAT, KOMBİLİ, BOYASI YAPILI",37500,0,Kadıköy,Caferağa Mah.,Daire,2,1,3.0,4.0,47,Kombi,0,Betonarme,İkinci El,450,50000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kadikoy-caferaga-kiralik/daire/5700-2462,80,75,0,66851.20439560439,56005.434782608696,5,1,0,2,1,1,0,0,0
KAĞITHANE GÜRSELDE CADDEYE 2 DK 2+1 TEMİZ KİRALIK DAİRE,25000,0,Kağıthane,Gürsel Mah.,Daire,3,1,1.0,4.0,7,Kombi,0,Betonarme,İkinci El,1750,25000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kagithane-gursel-kiralik/daire/88293-2918,80,70,0,44238.3578125,22815.78947368421,5,1,0,2,0,1,1,1,0
YEŞİLYURT EMLAK'TAN SAHİLE YAKIN 3+SALON 180M2 KİRALIK DAİRE,105000,0,Bakırköy,Yeşilköy Mah.,Daire,4,3,1.0,4.0,15,Kombi,0,Betonarme,İkinci El,7350,157500,Doğalgaz,https://www.hepsiemlak.com/istanbul-bakirkoy-yesilkoy-kiralik/daire/2237-4772,180,160,0,157770.20547945207,76651.51515151515,5,1,0,2,1,0,1,1,0
BAĞDAT CADDESİ'NE 3. BİNÂ GENİŞ 3+1 KOMBİLİ 3 CEPHELİ ARAKAT DAİRE,45000,0,Kadıköy,Feneryolu Mah.,Daire,4,1,2.0,3.0,40,Kombi,0,Betonarme,İkinci El,3150,45000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kadikoy-feneryolu-kiralik/daire/80253-889,135,120,0,66851.20439560439,75166.66666666667,5,1,0,2,1,1,1,1,0
ŞİŞLİ MERKEZDE 2+1 MOBİLYALI KİRALIK DAİRE,35000,0,Şişli,Merkez Mah.,Daire,3,1,1.0,6.0,25,Kombi,1,Betonarme,İkinci El,2450,52500,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-merkez-kiralik/daire/40208-2415,85,80,0,59910.485869565215,68711.29707112971,5,1,0,2,0,0,0,0,1
BAYRAMPAŞA ALTINTEPSİ 2+1 SIFIR BAHÇELİ BAHÇE KATI ASANSÖRLÜ YERDEN ISITMA,21000,0,Bayrampaşa,Altıntepsi Mah.,Daire,3,1,-1.0,5.0,0,Yerden Isıtma,0,Betonarme,İkinci El,1470,21000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bayrampasa-altintepsi-kiralik/daire/124856-463,75,70,0,21031.91489361702,20222.222222222223,8,1,0,2,0,0,0,1,0
ULUS SİTEDE KIRALIK ARAKAT DAİRE,140000,0,Beşiktaş,Nisbetiye Mah.,Daire,5,2,1.0,4.0,30,Kombi,0,Betonarme,İkinci El,10000,140000,Doğalgaz,https://www.hepsiemlak.com/istanbul-besiktas-nisbetiye-kiralik/daire/5575-12765,200,180,0,145577.30544993663,266602.3622047244,5,1,0,2,0,1,0,0,0
"TEŞVİKİYE, HÜSREV GEREDE'DE 120m2 ""0""BİNADA 3+1",115000,0,Şişli,Teşvikiye Mah.,Daire,4,2,3.0,6.0,0,Merkezi,0,Betonarme,Sıfır,3000,120000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/daire/5595-1268,120,105,0,59910.485869565215,156615.8536585366,6,1,0,1,0,0,1,0,0
"MENDERES MAH. METRO,MEYDAN YAKIN, 8 YILLIK YENİ BİNADA ! 2+1, 85m2, Yüksek Giriş, Kiralık Daire",18500,0,Esenler,Menderes Mah.,Daire,3,1,0.5,6.0,8,Kombi,0,Betonarme,İkinci El,1295,18000,Doğalgaz,https://www.hepsiemlak.com/istanbul-esenler-menderes-kiralik/daire/145446-502,85,80,0,36969.80198019802,20267.85714285714,5,1,0,2,1,1,0,0,0
EYÜPSULTAN KARADOLAP TA KİRALIK 1+1 SOBALI GİRİŞ DAİRE,10000,0,Eyüpsultan,Karadolap Mah.,Daire,2,1,0.0,3.0,30,Soba,0,Betonarme,İkinci El,700,10000,Diğer,https://www.hepsiemlak.com/istanbul-eyupsultan-karadolap-kiralik/daire/66267-1153,70,60,0,65489.622641509435,23722.222222222223,7,0,0,2,0,0,0,0,1
BAHÇELİEVLER ULUBATLI HASAN CAD 7 YILLIK 2+1 KÖŞE DAİRE,35000,0,Bahçelievler,Siyavuşpaşa Mah.,Daire,3,1,4.0,5.0,7,Kombi,0,Betonarme,İkinci El,2450,35000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bahcelievler-siyavuspasa-kiralik/daire/111551-1928,85,80,0,30662.31279620853,23921.84375,5,1,0,2,0,0,0,0,1
DİVAN 1+1 YENİ EŞYALI FIRSAT DAİRE-BOMONTİ-ROTANA YANI,56500,0,Şişli,Cumhuriyet Mah.,Residence,2,1,21.0,30.0,5,Merkezi,1,Betonarme,İkinci El,85,84750,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-cumhuriyet-kiralik/residence/67376-2159,92,75,2,59910.485869565215,38040.54054054054,6,1,0,2,0,1,1,0,0
2+1 Bahçe katı kiralk Daire,8500,0,Esenyurt,Selahaddin Eyyubi Mah.,Daire,3,1,-1.0,5.0,15,Kombi,0,Betonarme,İkinci El,250,20000,Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-selahaddin-eyyubi-kiralik/daire/125563-1504,75,70,0,20686.823529411766,12818.181818181818,5,1,0,2,0,1,0,0,0
"Kağıthane,Emniyetevlerde,Metroya,450m,Full,Eşyalı,Yeni,Binada,2+1,Daire",26000,0,Kağıthane,Emniyet Evleri Mah.,Daire,3,1,-1.0,3.0,11,Kombi,1,Betonarme,İkinci El,1820,39000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kagithane-emniyet-evleri-kiralik/daire/126247-562,85,75,0,44238.3578125,93388.88888888889,5,1,0,2,0,1,0,0,0
DİKİLİTAŞ TA SIFIR BİNA ŞEHİR MANZARALI TERASLI 3+1 DUBLEX,73000,0,Beşiktaş,Dikilitaş Mah.,Daire,4,1,6.0,6.0,0,Kombi,0,Betonarme,Sıfır,1000,75000,Doğalgaz,https://www.hepsiemlak.com/istanbul-besiktas-dikilitas-kiralik/daire/42225-7835,158,139,0,145577.30544993663,66601.35135135135,5,1,0,1,1,1,0,1,0
Güzelyalı Marmaraya Komşu Kiralık Eşyalı Geniş Ferah 2+1 Daire,29500,0,Pendik,Güzelyalı Mah.,Daire,3,1,2.0,4.0,9,Kombi,1,Betonarme,İkinci El,500,59000,Doğalgaz,https://www.hepsiemlak.com/istanbul-pendik-guzelyali-kiralik/daire/72542-3850,105,77,0,26993.649253731342,25937.5,5,1,0,2,0,1,1,0,0
Beykoz Çubukluda merkezde kiralık yüksek giriş kat daire,25000,0,Beykoz,Çubuklu Mah.,Daire,3,1,0.5,2.0,30,Kombi,0,Betonarme,İkinci El,1750,25000,Doğalgaz,https://www.hepsiemlak.com/istanbul-beykoz-cubuklu-kiralik/daire/129388-239,90,80,0,80924.95317725753,23547.619047619046,5,1,0,2,1,1,1,1,0
Maltepe yalı mah dragos’da 150m2 3+1 kombili açık otoparklı,45000,0,Maltepe,Yalı Mah.,Daire,4,1,1.0,8.0,27,Kombi,0,Betonarme,İkinci El,450,90000,Doğalgaz,https://www.hepsiemlak.com/istanbul-maltepe-yali-kiralik/daire/7203-2125,150,130,0,36607.416267942586,52083.333333333336,5,1,0,2,0,1,0,1,0
KARADENİZ EMLAK BEŞİKTAŞ KURUÇEŞMEDE FUL EŞYALI BOGAZ DENİZ MANZARALI 1+1 KOMBİLİ,35000,0,Beşiktaş,Kuruçeşme Mah.,Daire,2,1,0.5,2.0,50,Kombi,1,Betonarme,İkinci El,2450,52500,Doğalgaz,https://www.hepsiemlak.com/istanbul-besiktas-kurucesme-kiralik/daire/19631-2063,90,80,0,145577.30544993663,84166.66666666667,5,1,0,2,1,1,1,1,0
BEŞİKTAŞ YILDIZ DA ÜNİVERSİTE YAKINI EŞYALI KİRALIK DAİRE,35000,0,Beşiktaş,Yıldız Mah.,Daire,4,1,0.5,4.0,25,Kombi,1,Betonarme,İkinci El,100,70000,Doğalgaz,https://www.hepsiemlak.com/istanbul-besiktas-yildiz-kiralik/daire/26693-5016,140,125,0,145577.30544993663,75125.0,5,1,0,2,0,0,0,0,1
KİRALIK DAİRE,37000,0,Kağıthane,Ortabayır Mah.,Residence,3,1,10.0,15.0,6,Merkezi,0,Betonarme,İkinci El,5251,55500,Doğalgaz,https://www.hepsiemlak.com/istanbul-kagithane-ortabayir-kiralik/residence/87974-165,60,50,2,44238.3578125,29739.130434782608,6,1,0,2,0,0,1,0,0
AKBAYIRLAR'DAN HÜRRİYET MAH'DE ARA KAT GENİŞ 2+1 DAİRE,28500,0,Kartal,Hürriyet Mah.,Daire,3,1,1.0,6.0,6,Kombi,0,Betonarme,İkinci El,1995,28500,Doğalgaz,https://www.hepsiemlak.com/istanbul-kartal-hurriyet-kiralik/daire/72592-6420,95,85,0,37055.555555555555,25219.23076923077,5,1,0,2,0,1,0,0,0
ÇEMENZAR MİNİBÜS CADDESİ ÜSTÜNDE GENİŞ M2 KİRALIK DAİRE...,55000,0,Kadıköy,Merdivenköy Mah.,Daire,4,1,8.0,9.0,30,Merkezi,0,Betonarme,İkinci El,2000,55000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kadikoy-merdivenkoy-kiralik/daire/2312-25171,155,120,0,66851.20439560439,39846.153846153844,6,1,0,2,0,1,0,0,0
2+1 KİRALIK DAİRE (10 YAŞINDA),25000,0,Avcılar,Cihangir Mah.,Daire,3,1,2.0,3.0,10,Kombi,0,Betonarme,İkinci El,250,50000,Doğalgaz,https://www.hepsiemlak.com/istanbul-avcilar-cihangir-kiralik/daire/118377-214,115,87,0,25707.175925925927,37173.76190476191,5,1,0,2,0,1,1,1,0
çapa merkezde giriş kat 2+1 75m2 kuğu emlaktan kiralık daire,17000,0,Fatih,Seyyid Ömer Mah.,Daire,3,1,0.0,3.0,38,Kombi,0,Betonarme,İkinci El,1190,18000,Doğalgaz,https://www.hepsiemlak.com/istanbul-fatih-seyyid-omer-kiralik/daire/77099-6541,75,65,0,22015.514588859416,18869.04761904762,5,1,0,2,0,0,0,0,1
GÖKTÜRK 3+1 KİRALIK IRMAK KONAKLARI HEMEN TAŞINABİLİRSİNİZ DAİRE Snowboard'dan,65000,0,Eyüpsultan,Göktürk Merkez Mah.,Daire,4,2,1.0,3.0,10,Kombi,0,Betonarme,İkinci El,4550,97500,Doğalgaz,https://www.hepsiemlak.com/istanbul-eyupsultan-gokturk-merkez-kiralik/daire/24340-5107,165,150,0,65489.622641509435,124123.07692307692,5,1,0,2,1,1,0,0,0
ŞİŞLİ FULYA MAH ORTAKLAR CAD İÇERİSİNDE BAHÇE KATI,22000,0,Şişli,Fulya Mah.,Daire,3,1,-1.0,6.0,35,Merkezi,0,Betonarme,İkinci El,1540,22000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-fulya-kiralik/daire/15503-958,80,70,0,59910.485869565215,64472.51648351648,6,1,0,2,0,1,1,0,0
YILDIZEMLAKTAN KİRALIK EŞYALI DAİRE,38000,0,Beyoğlu,Cihangir Mah.,Daire,3,1,0.0,5.0,35,Kombi,1,Betonarme,İkinci El,300,80000,Doğalgaz,https://www.hepsiemlak.com/istanbul-beyoglu-cihangir-kiralik/daire/41169-935,80,67,0,46264.72451790634,37173.76190476191,5,1,0,2,0,1,1,0,0
Cumhuriyet Mahallesinde Kiralık Yeni Binada 2+1 70 m2 Bahçe Katı Daire,14000,0,Küçükçekmece,Cumhuriyet Mah.,Daire,3,1,-1.0,3.0,6,Kombi,0,Betonarme,İkinci El,150,16000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kucukcekmece-cumhuriyet-kiralik/daire/32964-11092,75,70,0,23117.786516853932,38040.54054054054,5,1,0,2,0,1,1,0,0
CİHANGİR'DE KİRALIK ASANSÖRLÜ YENİ BİNADA EŞYALI 1+1 DAİRE !,35000,0,Beyoğlu,Cihangir Mah.,Daire,2,1,3.0,5.0,4,Kombi,1,Betonarme,İkinci El,2450,70000,Doğalgaz,https://www.hepsiemlak.com/istanbul-beyoglu-cihangir-kiralik/daire/34125-4892,65,60,0,46264.72451790634,37173.76190476191,5,1,0,2,0,1,0,1,0
TEKNİK YAPI METRO PARK 1+1 C BLOKTA EŞYALI KİRALIK DAİRE,28500,0,Küçükçekmece,Atatürk Mah.,Daire,2,1,21.0,24.0,5,Merkezi,1,Betonarme,İkinci El,3900,57000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kucukcekmece-ataturk-kiralik/daire/3450-654,65,55,0,23117.786516853932,46682.31707317073,6,1,0,2,1,0,0,1,0
QADRAJ'DA KİRALIK 3+1,36000,0,Pendik,Dumlupınar Mah.,Daire,4,2,-1.0,7.0,0,Merkezi,0,Betonarme,Sıfır,3500,36000,Doğalgaz,https://www.hepsiemlak.com/istanbul-pendik-dumlupinar-kiralik/daire/129430-161,126,89,0,26993.649253731342,32729.166666666668,6,1,0,1,0,0,1,0,0
Küçükçekmece Gültepe Mah Metrobüse Yakın 2+1 Full Eşyalı Dubleks,35000,0,Küçükçekmece,Gültepe Mah.,Daire,3,2,3.0,3.0,8,Kombi,1,Betonarme,İkinci El,250,50000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kucukcekmece-gultepe-kiralik/daire/31316-9520,130,120,0,23117.786516853932,22023.529411764706,5,1,0,2,0,1,0,0,0
SİTE İÇİNDE BALKONLU KULLANIŞLI 1+1 KİRALIK DAİRE,15000,0,Esenyurt,Yeşilkent Mah.,Daire,2,1,12.0,20.0,1,Kombi,0,Betonarme,Sıfır,1050,15000,Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-yesilkent-kiralik/daire/124190-457,60,50,0,20686.823529411766,16218.421052631578,5,1,0,1,0,1,1,0,0
Cihangir Firuzağa mahallesinde full Eşyalı 3+1 1.kat Daire.,53000,0,Beyoğlu,Firuzağa Mah.,Daire,4,1,1.0,7.0,45,Kombi,1,Betonarme,İkinci El,350,53000,Doğalgaz,https://www.hepsiemlak.com/istanbul-beyoglu-firuzaga-kiralik/daire/117700-362,95,85,0,46264.72451790634,43975.0,5,1,0,2,0,1,0,0,0
SAHİLE BALTALİMAN HASTANESİ NE YAKIN MUSTAKİL GECEKONDU,18000,0,Sarıyer,Emirgan Mah.,Diğer,2,1,1.0,1.0,25,Kombi,0,Betonarme,İkinci El,1260,27000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sariyer-emirgan-kiralik/mustakil-ev/9132-2659,70,60,1,110185.8286163522,115166.66666666667,5,1,0,2,0,1,1,1,0
MECİDİYEKÖY MERKEZDE (meydana 150m mesafede) KÖŞE BİNAa,35000,0,Şişli,Mecidiyeköy Mah.,Daire,3,1,1.0,4.0,35,Merkezi,0,Betonarme,İkinci El,450,40000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-mecidiyekoy-kiralik/daire/13549-1574,95,80,0,59910.485869565215,34705.94059405941,6,1,0,2,0,1,0,1,0
"ER,&SE GAYRIMENKULDEN KIRALIK VILLA",25000,0,Silivri,Semizkumlar Mah.,Villa,6,3,1.0,3.0,25,Kombi,0,Betonarme,İkinci El,1750,20000,Doğalgaz,https://www.hepsiemlak.com/istanbul-silivri-semizkumlar-kiralik/villa/118351-488,250,200,3,32255.31914893617,25000.0,5,1,0,2,1,1,1,1,0
Bebekte merkezde 3.5+1 ferah kiralık daire,125000,0,Beşiktaş,Bebek Mah.,Daire,4,2,2.0,5.0,50,Merkezi,0,Betonarme,İkinci El,1500,110000,Elektrik,https://www.hepsiemlak.com/istanbul-besiktas-bebek-kiralik/daire/37071-465,190,145,0,145577.30544993663,189183.94736842104,6,2,0,2,1,1,1,1,0
"Ataköy 1.Kısım 3,5+1 Deniz Manzaralı Tadilatlı Kiralık Daire",70000,0,Bakırköy,Ataköy 1. Kısım Mah.,Daire,4,1,0.5,11.0,31,Merkezi,0,Betonarme,İkinci El,2800,105000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bakirkoy-atakoy-1-kisim-kiralik/daire/60561-1945,130,110,0,157770.20547945207,65000.0,6,1,0,2,0,1,0,1,0
BAHÇELİEVLER MERKEZDE ASANSÖRLÜ KAPALI OTOPARKLI KİRALIK DAİRE,50000,0,Bahçelievler,Bahçelievler Mah.,Daire,3,1,3.0,4.0,0,Kombi,0,Betonarme,Sıfır,3500,75000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-kiralik/daire/8458-1770,100,90,0,30662.31279620853,49116.438356164384,5,1,0,1,0,1,1,0,0
YBK'DAN MERKEZİ KONUMDA AYRI MUTFAK ARA KAT KİRALIK 1+1 DAİRE,15000,0,Şişli,Gülbahar Mah.,Daire,2,1,0.5,6.0,20,Kombi,0,Betonarme,İkinci El,1050,22500,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/71428-1743,60,55,0,59910.485869565215,24218.3908045977,5,1,0,2,0,0,1,1,0
EUROCİTY DEN ÜNVERSİTEYE YAKIN EŞYALI AYRI MUTFAKLI 1+1,20000,0,Maltepe,Fındıklı Mah.,Daire,1,1,22.0,4.0,5,Kombi,1,Betonarme,İkinci El,150,20000,Doğalgaz,https://www.hepsiemlak.com/istanbul-maltepe-findikli-kiralik/daire/67434-792,65,50,0,36607.416267942586,23331.25,5,1,0,2,0,1,1,1,0
SUADİYEDE 2+1 AÇIK MUTFAKLI.6 YILLIK BİNADA.,50000,0,Kadıköy,19 Mayıs Mah.,Daire,3,1,1.0,8.0,6,Merkezi,0,Betonarme,İkinci El,1950,100000,Doğalgaz,https://www.hepsiemlak.com/istanbul-kadikoy-19-mayis-kiralik/daire/3982-2274,65,55,0,66851.20439560439,49790.47619047619,6,1,0,2,0,1,0,1,0
Eliyadan Astoria Avm Karşısı Emekli Subay Evlerinde 3+1 Kiralık Daire,45000,0,Şişli,Esentepe Mah.,Daire,4,2,2.0,5.0,45,Merkezi,0,Betonarme,İkinci El,1400,67500,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-esentepe-kiralik/daire/62127-1338,100,90,0,59910.485869565215,103013.15789473684,6,1,0,2,0,1,1,0,0
İbrahim KOLDAMCA'dan Bayrampaşa Merkezde kiralık daire Asansörlü 1ci Kat,25000,0,Bayrampaşa,Orta Mah.,Daire,3,1,1.0,5.0,35,Kombi,0,Betonarme,İkinci El,1250,30000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bayrampasa-orta-kiralik/daire/109545-518,100,90,0,21031.91489361702,20818.18181818182,5,1,0,2,0,1,0,1,0
DAİREMİZ VERİLMİŞTİR,18000,0,Bahçelievler,Bahçelievler Mah.,Daire,4,1,5.0,5.0,35,Kombi,0,Betonarme,İkinci El,1260,18000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bahcelievler-bahcelievler-kiralik/daire/96848-2824,125,120,0,30662.31279620853,49116.438356164384,5,1,0,2,0,1,0,0,0
BARBAROS BULVARI YAN PARALERİNDE 3+1 KİRALIK EŞYALI EŞYASIZ DAİRE,40000,0,Beşiktaş,Cihannüma Mah.,Daire,4,1,2.0,6.0,30,Kombi,1,Betonarme,İkinci El,500,60000,Doğalgaz,https://www.hepsiemlak.com/istanbul-besiktas-cihannuma-kiralik/daire/12817-972,120,110,0,145577.30544993663,50090.90909090909,5,1,0,2,1,1,1,1,0
Emlak Konut Bizim Mahalle 3.Kısımda Sıfır Özel Bahçeli 2+1 Daire,51000,0,Küçükçekmece,Halkalı Merkez Mah.,Daire,3,2,-1.0,9.0,0,Merkezi,0,Betonarme,Sıfır,3570,76500,Doğalgaz,https://www.hepsiemlak.com/istanbul-kucukcekmece-halkali-merkez-kiralik/daire/114218-2678,125,90,0,23117.786516853932,24717.347826086956,6,1,0,1,0,1,0,0,0
SAFİR BAKIRKÖY'DEN KARTALTEPE'DE ARAKAT 3ODA 1 SALON KİRALIK DAİRE,26000,0,Bakırköy,Kartaltepe Mah.,Daire,4,1,3.0,5.0,40,Merkezi,0,Betonarme,İkinci El,1820,39000,Doğalgaz,https://www.hepsiemlak.com/istanbul-bakirkoy-kartaltepe-kiralik/daire/4638-2687,120,100,0,157770.20547945207,29033.333333333332,6,1,0,2,1,0,1,1,0
BAŞVEKİL EMLAKTAN ŞEHREMİNİ B.SARAY CİVARI 1+1 60M2 EŞYALI DAİRE,19000,0,Fatih,Mevlanakapı Mah.,Daire,2,1,3.0,3.0,34,Kombi,1,Betonarme,İkinci El,1330,28500,Doğalgaz,https://www.hepsiemlak.com/istanbul-fatih-mevlanakapi-kiralik/daire/88208-1848,60,55,0,22015.514588859416,16861.11111111111,5,1,0,2,0,0,0,0,1
TAM DONANIMLI SİTE STRADA'DA 1+1 KİRALIK DAİRE,25000,0,Esenyurt,Orhan Gazi Mah.,Daire,2,1,1.0,30.0,4,Kombi,0,Betonarme,İkinci El,3530,50000,Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-orhan-gazi-kiralik/daire/129391-405,80,60,0,20686.823529411766,18500.0,5,1,0,2,1,1,1,1,0
Mecidiyeköy 1+1 eşyalı kiralık metro metrobüs 10 dk,25000,0,Şişli,Kuştepe Mah.,Daire,2,1,1.0,5.0,4,Kombi,1,Betonarme,İkinci El,1750,25000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-kustepe-kiralik/daire/116322-1326,70,60,0,59910.485869565215,25931.81818181818,5,1,0,2,0,1,0,0,0
DMRC'DEN CEVAHİR AVM'YE KOMŞU 2+1 FULL EŞYALI DAİRE,37500,0,Şişli,Fulya Mah.,Daire,2,1,22.0,5.0,7,Kombi,1,Betonarme,İkinci El,300,56250,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-fulya-kiralik/daire/120873-361,90,83,0,59910.485869565215,64472.51648351648,5,1,0,2,0,0,1,1,0
Mecidiyeköy'de Yeni Binada Full Eşyalı Küçük 3+1 Daire,20000,0,Şişli,Mecidiyeköy Mah.,Daire,4,1,-1.0,7.0,7,Kombi,1,Betonarme,İkinci El,150,20000,Doğalgaz,https://www.hepsiemlak.com/istanbul-sisli-mecidiyekoy-kiralik/daire/95585-3652,75,60,0,59910.485869565215,34705.94059405941,5,1,0,2,0,0,1,1,0
